type,stem,answer,explanation,difficulty,option_A,option_B,option_C,option_D,option_E
multiple,为了保障全体的 CDN 租户的使用体验，接入阿里云内容分发网络 CDN 前需要满足 一些条件， 关于阿里云 CDN 准入条件的描述，正确的是,"A,C,D",彩票类的网站审核在接入的时候会审核不通过。,1,阿里云官网完成帐号实名认证,加速域名可以是彩票类网站,加速的域名必须在工信部完成备案，推荐接入阿里云备案,"加速域名的源站内容，可选择保存于云服务器 ECS 实例或对象存储 OSS;如源站内容不 在阿里云, 接入需经过人工审核",
single,为了防止因本地 IP 对阿里云服务器频繁访问而被屏蔽的情况，可以通过云盾的 功能进行设 置？,A,需要屏蔽某个/某段 IP 频繁非法访问的情况，可以通过云盾的 IP 白名单来实现。,1,IP 白名单,webshell 云查杀,安全网络,常用登录地管理,
single,阿里云的云监控(CloudMonitor)是一项针对阿里云资源和互联网应用进行监控的服务。 下列关于 云监控的说法准确的是？,C,"无论您的服务器是阿里云服务器 ECS,还是其他云厂商的服务器或物理机，都可以使 用主机监 控服务。",1,需要单独购买并付费，才可以开通,不能通过管理控制台使用云监控服务,支持监控未部署在阿里云产品上的网站,不支持监控未部署在阿里云产品上的网站,
single,阿里云对象存储 OSS 是阿里云对外提供的海量、安全、低成本、高可靠的云存储 服务。可以广 泛应用于各种场景。例如:图片和音视频类应用的海量存储、静态网站、应 用中的静态网页。以下 场景适合使用 OSS 服务。,A,OSS 仅适合存放静态非结构化数据，所以数据库的数据是不行的。,1,"客户 A 是一个网店老板，每天产生 10Gb 的高清图片,需要稳定可靠的存储",客户 B 的一个在线应用，采用自建 MySQL 数据库保存订单信息，该应用每天产生 2000 万条订单 数据，预计 2 周后存储容量达到服务器上限，希望通过阿里云产品解决订单存储问 题,客户 C 想对当前业务系统积累了 5 年的数据进行数据挖掘，为新财年的营销策略制定 提供数据 支持,"客户 D 的小型电子商务系统由于业务量爆增，计算能力明显不足，每天业务高峰期时服 务器的 CPU 利用率都超过 90%,正在寻找优化方案",
single,在 OSS 中，用户操作的基本数据单元是文件(Object)。单个文件的最大允许大小根据上 传数据方 式不同而不同。下列哪种描述不属于 OSS 分块上传？,D,分块上次的基础知识，参考链接：https://help.aliyun.eom/document_detail/31850.htm,1,支持断点上传,网络条件较差，经常连接断开,上传超过 100MB 文件,上传最大不得超过 5GB,
single,"某阿里云公共云用户,购买了一台云服务器 ECS 实例,部署了 tomcat,用 方法可以 最简 单的监控该实例的 tomcat 的 8080 端口是否访问正常。",B,,1,购买第三方的监控工具,在阿里云的云监控的站点监控中创建探测点，监控该端口的状态,"每小时间登录一次云服务器 ECS 实例,用命令行查看",自己写脚本探测，然后上报数据到云监控,
multiple,"Channel 是 OSS 图片服务 API 的基本概念之一,Channel 是 IMG 上的命名空间，它 具有以下哪些 功能？","A,B,C",Channel 是 IMG 上的命名空间，也是计费、权限控制、日志记录等高级功能的管 理实体。,1,控制权限,日志记录,计费,管理 Object,
single,以下针对 ECS 地域和可用区的描述不正确的是 ?,A,同账号下，同一地域 ECS 实例内网都可以互通。,1,同账号下，同一地域不同可用区的 ECS 实例内网不能互通,若购买的 ECS 需要和阿里其他服务搭配使用，建议选择相同地域,一个地域拥有多个可用区,在购买了 ECS 实例后，地域不可更改,
single,阿里云的云服务器 ECS 实例的快照是指某一个时间点上某一块磁盘的数据拷贝。下 列关于云服 务器 ECS 实例快照的说法错误的是 o,B,自动快照是保存在 OSS 里面，但是是保护在独立于用户自己的 OSSBucket 里面， 而不是用户 的 Bucket 里面。,1,用户可以手动创建快照和也可以设置自动快照策略,可以保留自动快照到用户自己的 OSS Bucket 中,系统盘和数据盘都可以制作快照,云服务器 ECS 实例到期后或手动释放磁盘时，手动创建的快照不会同时释放,
single,使用阿里云的负载均衡 SLB 实例时，合理的会话保持配置可以实现与某个连接 （Session）相关 的所有应用请求能够由同一台后端云服务器 ECS 实例进行处理，维持业务 的延续性。四层服务的会 话保持是基于 实现的。,A,四层服务的会话保持是基于源 IP 实现的，七层服务的会话保持是基于 Cookie 实现 的。,1,源 IP,负载均衡 IP,cookie,用户的 UUID,
multiple,云计算面临的安全威胁主要来自:可用性、完整性、保密性三个方面，以下 威 胁 会影响云计算的保密性。,"A,B",电力中断和骨干网中断只是不能被访问，不会影响云计算的保密性,1,数据非法访问,网站出现后门，私密数据被公开,电力中断,骨干网中断,
single,用户在使用阿里云云服务器 ECS 的时候，经常收到密码被暴力破解的报警信息，虽然 都没有成 功，但是很担心某一天会被攻破。为了提升系统的安全性，并不再接收到该 ECS 实例的密码暴力破解 报警信息，以下 是最安全的措施。,C,WAF 保护的是 ECS 上应用层的用户服务，而不能保护 ECS 的被保密破解。先知 （安全众测） 是一个帮助企业建立私有应急响应中心的平台（帮助企业收集漏洞信息），也不能 保护 ECS 的被保 密破解。所以最安全的是提升 ECS 登录密码的复杂度，关闭 ECS 远程 登录管理的端口。,1,关闭云监控的异常报警机制,开通安全众测，查找系统中的潜在漏洞,将 ECS 密码修改为 8 位以上的复杂密码，同时用安全组关闭远程管理端口,使用 WAF 来提升系统的安全性,
single,阿里云 OSS 图片处理服务（Image Service）是阿里云 OSS 对外提供的图片处理服务。 用户将原始 图片上传保存在 OSS 上，通过简单的 RESTful 接口，可以在任何时间、任何 地点、任何互联网设备 上对图片进行处理。以下有关 OSS 图片处理服务说法正确的,C,"图片处理第一步就是需要将图片上传到用户指定的 Bucket,所以处理图片是基于 Bucket 里面的 图片文件来处理的。处理完的图片并不会保存到 OSS,而是直接返回给请求 的用户。",1,可以处理来自于阿里云 OSS 以外的图片,处理完的图片会保存在 OSS 中,处理的图片是 OSS 用户上传到 Bucket 里的 Object,其它答案都正确,
single,阿里云会为每个云服务器 ECS 实例分配一个私网 IPo 以下关于云服务器 ECS 实例 的私网 IP 说 法正确的是 0,C,私网 IP 是可以用于 SLB 的负载均衡，同一地域内实例之间通过私网 IP 进行的通 讯是不收取流 量费的。,1,私网 IP 不可以用于 SLB 的负载均衡,同一地域内实例之间通过私网 IP 进行的通讯流量是收费的,"不要在操作系统内部自行变更私网 IP,否则可能会导致私网通讯中断",私网不允许同一帐号下的云服务器 ECS 实例之间或者云服务器 ECS 实例与其他云服 务之间互访,
single,如果您在非阿里云的服务器上安装了云盾安骑士客户端，通过 可以确保在您的 管 理控制台中能查到此服务器的相关报告。,D,安装“安骑士客户端”后，需要用在管理控制台生成的安装验证 key 与指定的阿里云 官网帐号 关联。,1,非阿里云服务器不支持安骑士,通过阿里云官网帐号关联,报告无法在阿里云的管理控制台査看,"在安装安骑士的过程中需要输入“安装验证 key”,通过此 Key 关联用户的管理控制台",
multiple,"云计算是一种商业计算模型，它将计算任务分布在大量计算机组成的资源池上,使各种 应用系统 能够根据需要获取计算能力、存储空间和信息服务。最常见的三种云计算的服 务类型包括？","A,B,C",云计算服务的三种类型（SaaS、PaaS、laaS）,1,SaaS（软件即服务）,PaaS（平台即服务）,IaaS（基础设施即服务）,DBaaS（数据库即服务）,
single,"阿里云的云盾安骑士可以记录远程访问服务器的源 IP 地址,并对频繁连接的可疑 IP 进行屏蔽， 日常运维过程中需要通过 功能对系统管理员常用的 IP 进行设置。",C,题目中明确说了对频繁连接的可疑 IP 进行屏蔽，所以通过 IP 白名单直接只允许指 定的 IP 访 问即可。,1,安全组,webshell 云査杀,IP 白名单,常用登录地管理,
single,阿里云账号的 AccessKey 有所有 API 访问权限。下列关于 AccessKeyld 和 AccessKeySecret 说法 错误的是 。,B,"AccessKeySecret 并不支持通过控制台直接査看,AccessKeySecret 只能一次生成，后 续不支持再 次查看。如何忘记 AccessKeySecret,只能在授权登录后在控制台重新生成。",1,AccessKeySecret 是用于加密签名字符串和服务器端验证签名字符串的密钥,AccessKeySecret 可以通过控制台直接查看而无需做额外验证,AccessKeyld 和 AccessKeySecret 是由阿里云官方发给访问者的,AccessKeyID 是用于标识访问者的身份,
single,"虚拟化（英语:Virtualization）是云计算的底层结构。它是一种资源管理技术，是将计算机 的各 种实体资源，如服务器、网络、内存及存储等，予以抽象、转换后呈现出来，打破实体 结构间的不 可切割的障碍,使用户可以比原本的组态更好的方式来应用这些资源。虚拟化 架构描述错误的是以下 哪个？",B,虚拟机中的操作系统和物理机上的操作系统没有本质的区别。,1,虚拟化技术可以将单个 CPU 模拟成多个 CPU,虚拟机中的操作系统和物理机上的操作系统有着本质的区别,虚拟化软件层模拟出来的每台虚拟机都是一个完整的系统,相比物理机，虚拟化可以提供更高的 IT 资源利用率和性能,
multiple,"阿里云对象存储 OSS 是阿里云对外提供的海量、安全、低成本，高可靠的云存储服务。 与自建 存储对比,OSS 在可靠性、安全、成本和数据处理能力方面具备明显的优势。 属于 OSS 可靠性方 面的优势。","A,B,C",,1,服务可用性不低于 99.995%，不受限于硬件可靠性,"存储规模可自动扩展,OSS 对外服务不中断",数据自动多重冗余备份,底层数据异地存储（自动在多个地域分散保存）,
single,当客户开通云盾安骑士功能后经常能收到一些安全的报警信息，但是没有时间处理，为 了避免 安全风险的发生，客户还可以选择云盾的 服务，让阿里云专业的工程师 代为 处理。,B,安全管家有专业技术人员可以帮你运维机实例，,1,态势感知,安全管家,内容安全（原名:绿网）,DDoS 高防 IP,
single,"以下创建 ECS 镜像时, 步骤的描述有错？",C,您输入自定义镜像名称，不能为空,1,输入的自定义镜像描述，可以为空,选择全部快照，可以看到快照的列表,输入自定义镜像名称，可以为空,登陆阿里云的控制台来创建 ECS 镜像,
multiple,"阿里云对象存储 OSS 里存储的所有文件必须 隶属于某个存储空间 Bucket,当一个用 户创建了多个 Bucket,每个 Bucket 为不同的应用服务时，最安全 的方法是让每个应用只 能访问对应的 Bucket.,阿里云的 OSS 与访问控制 RAM 配合可以满足此类业务 需求。 OSS 配合 RAM 的方案描述正确的是 o","A,B,C","不同的应用是应该访问不同的 Bucket,权限不仅需要有“允许”和“拒绝”，而且为了安 全， 也需要区分“读”和“写气",1,开发环境和正式线上环境中的应用使用不同的 Bucket,"允许某个应用读,另一个应用写同一个 Bucket 里的文件","让某个应用临时读写某个 Bucket,凭证过期后无法访问","不同的应用访问不同的 Bucket,但是权限只有“允许”和“拒绝”，不区分“读”和“写”",
multiple,"SLB 中的四层负载均衡釆用开源软件 LVS,并根据云计算的需求对其官方进行了定制 化，下列哪些 属于阿里云在 LVS 官方问题上进行了定制化?()","B,C,D","这个是文档原话:优化了以下问题:解决 1：新增转发模式 FULLNAT,实现 LVS- RealServer 间跨 vlan 通讯;解决 2:新增 synproxy 等攻击 TCP 标志位 DDOS 攻击防御 功能;解决 3:采用 LVS 集群部署方 式;解漆 4:优化 keepalived 性能；",1,采用 Tengine 实现负载均衡,DDoS 攻击防御功能,釆用 LVS 集群部署方式,优化 keepalived 性能,
single,创建阿里云弹性伸缩(Auto Scaling)伸缩组的时候，可以配置“移出策略”。现将移出策略 配置 为“最早伸缩配置对应的实例”，以下说法中正确的是？,A,"顾名思义,最先的，伸缩配置创建的实例。",1,只移除通过弹性规则创建的 ECS 实例，并且是按照伸缩配置创建 ECS 实例的时间先后 顺序优先 移出先建的 ECS 实例,根据 ECS 实例的创建时间判断，优先移出先建的 ECS 实例,只移除手工添加的 ECS 实例，并且是按照伸缩配置创建 ECS 实例的时间先后顺序优先 移出先建 的 ECS 实例,根据 ECS 实例添加到伸缩组的时间判断，优先移出先添加 ECS 实例,
single,"您的阿里云专有网络 VPC 创建后，需要完成 操作之后,才能够在专有网络内 创建其 他的云产品实例,如云服务器、负载均衡和云数据库等。",A,在阿里云专有网络 VPC 创建后，路由器也是随着 VPC 一起自动创建的，所以不需 要手动创建 了。这个时候需要继续创建交换机才能在交换机中创建其他云产品。,1,创建交换机,创建路由器,配置网段地址,设置路由表,
multiple,您希望将本地已经在运行的业务系统(包括服务器及 Mysql 数据库)迁移到阿里云上，增 加系统 的可扩展性，并且降低运维成本，以下 是可行的操作。,"A,B,C",本地的应用服务器制作镜像不支持上传到阿里云作为镜像提供服务。,1,使用数据传输 DTS 的增量数据同步功能将自建机房的 MySQL 实例的数据迁移到 RDS for MySQL,将本地的应用部署到阿里云的云服务器 ECS 实例上,通过已经部署好的云服务器 ECS 实例制作镜像，进行应用的快速复制，生成更多的应用 服务器,基于本地的应用服务器制作镜像上传到阿里云，直接生成新的云服务器 ECS 实例，提供 服务,
single,"某公司有一个阿里云官网账号，并通过此账号申请使用了阿里云的负载均衡 SLB 实例, 公司的 账号的管理员创建了子账号，并将负载均衡 SLB 实例的只读权限授予该子账号，该 子账号的拥有者 可以査看 SLB 服务，但是无法对其进行修改。上述授权操作使用了阿里 云的 =",A,"提及到""子账号”，所以需要通过阿里云的 RAM (Resource AccessManagement)，即用 户身份管 理与资源访问控制服务。",1,RAM (Resource Access Management),DAC(Discretionary Access Control),MAC(Mandatory Access Control),资源编排,
multiple,"负载均衡实例监听负责检查连接请求,然后根据调度算法定义的转发策略将请求流量分 发至后 端服务器。SLB 实例监听可选择的协议类型有哪些？","B,C,D",目前负载均衡 SLB 监听仅支持 TCP/UDP(4 层)和 HTTP/HTTPS(7 层)这 4 种 协议。,1,FTP,HTTP,HTTPS,TCP,
single,"阿里云的专有网络 VPC 下的云服务器 ECS 实例如果绑定了 EIP,就可以实现该服务 器 ECS 实例 对公网的服务。出于安全的考虑要限制某台绑定了 EIP 的云服务器 ECS 实例的 3389 远程端口的访问， 可以通过 方法来实现。",A,"在控制台里面，专用网络 VPC 下面的 ECS,不管是否绑定了 EIP,在设置安全组的 时候,只可以 设置内网规则，外网规则是不可以选的。因为对于其来说,内网规则等同于外网 规则,所以不要被题 目中的""对公网的服务”误导。所以此题应该选择添加一条入方向规则， 拒绝 TCP 协议来自 3389 端 口的入方向访问。",1,在这台云服务器实例的安全组规则中添加一条入方向规则，拒绝所有内外网 IP 的 TCP 协 议访问 3389 端口,在这台云服务器实例的安全组规则中添加一条公网入方向规则，拒绝所有公网 IP 的 TCP 协议访 问 3389 端口,在这台云服务器实例的安全组规则中添加一条内网入方向规则，拒绝所有内网 IP 的 TCP 协议访 问 3389 端口,在这台云服务器实例的安全组规则中添加一条公网入方向规则及一条内网入方向规则， 拒绝所 有内外网 IP 的 TCP 协议访问 3389 端口,
single,"云盾是阿里云整体安全体系的一部分,为云上客户和阿里云自身提供多方面的安全保障 功能。以 下关于云盾的描述，正确的是 。",C,"云盾是阿里巴巴集团多年来安全技术研究积累的成果,结合阿里云云计算平台强大 的数据分析 能力。为中小网站提供如安全漏洞检测、网页木马检测以及面向云服务器用户 提供的主机入侵检测、 防 DDOS 等一站式安全服务。云盾的功能产品部分是可以免费使 用的。",1,是一款软件产品，用户开通云产品后需要安装才能使用,是一款硬件产品,"是阿里云为用户提供的,包括安全漏洞检测、网页木马检测以及主机入侵检测、防 DDoS 攻击等 功能的一站式安全服务",云盾的所有功能都需要付费使用,
single,阿里云的云监控产品的监控数据可以釆用 方式下载。,C,控制台中没有下载按钮，只能查看，API 返回的 JSON 严格意义不算下载文 件,1,从管理控制台直接下载,通过 OpenAPI 下载,只能查看报表，无法下载,支持管理控制台和 OpenAPI 两种方式下载,
single,阿里云的负载均衡 SLB 提供对多台云服务器进行流量分发的服务，支持四层和七层的 流量转发。 其中七层流量转发是通过 实现的。,B,流量转发四层是通过 LVS 实现，七层是通过 Tengine 实现,1,LVS,Tengine,Nginx,Heartbeat,
single,"阿里云负载均衡 SLB 在四层(TCP)转发时，设置了会话保持,在会话保持的超时时间内， 以下说 法中正确的是 。",A,负载均衡 SLB 在四层（TCP）转发是是基于源 IP 的会话保持。四层会话保持的最长 时间是 3600 秒。,1,来源 IP 地址相同的连接都会转发到同一台后端云服务器 ECS 实例上,负载均衡 SLB 实例将自动以 Session 为单位进行转发，无需 IP 地址判断或者 cookie 信息辅助,"客户端的请求中带有负载均衡 SLB 实例设置的 cookie 信息，负载均衡 SLB 实例会根 据 cookie 中 的信息判断是否来自同一会话,如果是，则转发到相同的 ECS 实例",釆用 test-and-set 机制，负载均衡 SLB 实例先去检查后端 ECS 实例的内存中是否存在 相同 Session 信息，如果某台 ECS 实例中存在，则转发至该 ECS 实例，如果所有 ECS 实 例中都没有相关信息，则 该请求被认为是某个 Session 的第一次连接，会按照转发规则转发 给任意一台 ECS 实例,
single,您希望通过华北 2（北京）地域的阿里云专有网络 VPC 中的云服务器 ECS 实例通 过内网访问 OSS，但是连接 oss-cn-beijing-intemal.aliyuncs.com（华北 2（北京）地域的 通用内网地址）失败，可 以通过 解决。,A,"在 VPC 的环境中 ECS 连接 oss-cn-beijing-intemal.aliyuncs.com 这个地址不通。 这个是因为 OSS 针对 VPC 是有一套自己的内网地址,所以需要用北京:vpclOO-oss-cn- beijing.aliyuncs.com",1,"通过 VPC 专用的 OSS 内网地址进行访问,vpcl00-oss-cn- beijing.aliyuncs.com","换其他地域的内网地址进行访问,如华北 1（青岛）地域的通用内网地址（oss-cn-qingdao- intemal.aliyuncs.com）",只能通过外网地址进行访问,其他方式都不能解决,
multiple,"某企业使用阿里云的专有网络 VPC 构建了一个隔离的网络环境，并通过 VPN 专线将 该网络与 传统数据中心组成一个按需定制的网络环境,这样就可以把一些原来在传统数据 中心中运行的应用平 滑迁移到了阿里云上。现在需要从公网上接收用户请求，并使用阿里 云的负载均衡 SLB 实例将这些 请求分配到 VPC 中的多台云服务器 ECS 实例上去。以 下说法中正确的有 o","B,C","题目考察的是公网分发请求至 SLB 的正确方法，按照官方推荐应该是购买公网 IP 的负载均衡 SLB 实例接收公网请求，或者创建 VPC 内的负载均衡 SLB 实例，然后再给 这个 SLB 绑定 EIP 来接收 公网请求。用跳板机接收外部请求不规范且冗余，既然有了公 网 IP,就没有必要使用跳板机来接收公 网请求。",1,"用户在 VPC 内创建负载均衡 SLB 实例,并挂载 VPC 内的 ECS 实例，通过跳板机接收 外部请求， 然后将这些请求通过负载均衡 SLB 实例分发给后端 ECS 实例",用户创建公网 IP 的负载均衡 SLB 实例，挂载 VPC 中的 ECS 实例，这样来自于公网的 请求就会 被分流到 VPC 中的 ECS 实例上去处理,"用户在 VPC 内创建负载均衡 SLB 实例,并挂载 VPC 内的 ECS 实例，为负载均衡 SLB 实例绑定一 个 EIP,即可实现负载均衡 SLB 实例接受公网请求,并将这些请求分发给 后端 ECS 实例",用户创建公网 IP 的负载均衡 SLB 实例，挂载 VPC 中的 ECS 实例和本地数据中心的 服务器，这 样来自于公网的请求就会被分流到 VPC 中的 ECS 实例以及本地数据服务器 上去处理,
single,"您在阿里云两个在不同地域创建了专有网络 VPC,如果希望实现两个 VPC 之间的私 网通信，采 用 产品可以实现。",A,"题目问的是希望实现两个 VPC 之间的私网通信,所以需要通过高速通道实现 VPC 之间的私网通 信。",1,通过高速通道实现 VPC 之间的私网通信,通过路由器创建新的路由条目打通,通过安全组创建新的访问规则打通,无需任何操作，同一个帐号下的不同 VPC 本来就是内网连通的,
single,用户在阿里云以外的服务器上安装“安骑士客户端”后，通过 方式与指定的阿里 云 官网帐号关联。,A,安装“安骑士客户端”后，需要用在管理控制台生成的安装验证 key 与指定的阿里云 官网帐号 关联。,1,在管理控制台生成的安装验证 key,用户帐号 ID,用户的 AccessKey,用户名和密码,
multiple,伸缩配置(Scaling Configuration)定义了用于弹性伸缩的 ECS 实例的配置信息。弹性伸 缩为某个 伸缩组自动增加 ECS 实例时，会根据伸缩配置创建 ECS 实例。ESS 伸缩配置 具有以下几种状态？,"A,B",,1,Active,Inacitve,Deleting,down,
single,"在新建的 Linux ECS 实例中，启动 OFBiz 服务的时候，步骤如下:a. # chmod +x ant;b. # cd ofbiz-releasel2.04;c. # ./ant Run; # ,/ant start &amp; ;d. # ./ant;# ,/ant run-installo 则下列扣 E 序正确的是 ?",C,"这个仅要求记住即可，具体步骤解释为:1.进入 OFBiz 文件夹,2.给 ant 脚本赋予执 行权限,3.运 行安装脚本,4.启动 ant",1,a;c;b;d,a;b;c;d,b;a;d;c,b;c;d;a,
single,"在互联网环境中，云服务器 ECS 要想被别的应用或网民访问到，就必须开通相应的“端 口”， 比如常见的 HTTP 应用工作在 80 端口,FTP 应用工作在 21 端口，以下是某管理员 对云服务器 ECS 配 置的策略，请您选出最安全的一种方法。",C,按照企业上云的最佳安全策略，应该是需要用到 ECS 的指定的服务端口才去开通 必要的服务 端口。避免由于端口暴露导致 ECS 的安全问题。,1,"云服务器 ECS 实例购买成功后，立即从管理控制台启用了安全组防火墙，对公网开放全 部端 口,ECS 实例对外只能访问 80 端口",云服务器 ECS 实例购买成功后，立即从管理控制台启用了安全组防火墙，对公网开放的 端口范 围是从 0 到 1024,云服务器 ECS 实例购买成功后，立即从管理控制台启用了安全组防火墙，并对公网只开 通必要 的服务端口,"用户打算在 1 台云服务器 ECS 实例上搭建多个应用，为了方便管理,釆用了默认的设置, 开放全 部端口",
multiple,阿里云专有网络 VPC 产品是基于软件定义网络的技术实现的，具备特点。,"A,B,D",专有网络 VPC 的访问控制可以灵活配置。,1,无需购买硬件网络设备可以实现基本的网络设置,可以按需配置网络设置,"网络访问控制规则固定,不能进行灵活的配置",管理操作及配置实时生效,
multiple,阿里云的云服务器 ECS 产品支持的 SSD 云盘，可以用于 I/O 密集型应用、中大型 关系型数据库 及 NoSQL 数据库中。以下哪些是 SSD 云盘独有的优势？,"B,D",题目中问的是:SSD 云盘独有的优势。所以需要普通云盘没有的优势。其中三副本 机制的高可 靠性以及最大提供 32768 GB 存储空间普通云盘也有这个特性。SSD 云盘的 顺序读写的 IOPS 都比普 通云盘要高，以及访问延时很低，这个是它独有的优势。,1,釆用分布式三副本机制，提供 99.9999999%的数据可靠性,SSD 云盘的随机和顺序读写的 IOPS 都比普通云盘高,单块云盘最大提供 32768 GB 存储空间,访问时延可以达到 0.5-2 ms,
single,"某企业托管到传统 IDC 机房的服务器（包括 windows 和 Linux 两种操作系统），每天 晚上有来 自很多国家的 IP 地址对其管理密码进行尝试破解。为此管理员小王很是担心, 因为工作需要，远程管 理端口必须对公网开放。小王听说阿里云的云盾可以帮助客户提 升安全防护的能力，想把系统迁到 阿里云上。在阿里云上开通 暴力破解的可能。",B,题目中问的是防止密码破解，这个是安骑士的功能点。,1,内容安全（原名:绿网）,安骑士,DDoS 基础防护,态势感知 功能可以减少密 码被,
single,在对 ECS 实例进行续费操作时，无法实现以下 操作？,D,ECS 升级 CPU 或内存等配置需要重启才可享受升级后的配置。,1,增加 CPU 规格,带宽升级,增加内存空间,无需重启即可享受升级后的配置,
multiple,您已经购买了阿里云的一台云服务器 ECS 实例并挂载 3 块数据盘，现在需要对该云 服务 ECS 实 例进行升级，可以升级的配置包括 。（,"A,B,C",一台 ECS 实例最多能挂载 16 块云盘作数据盘用，所以并不支持无上限的增加数 据盘。,1,有限的扩展磁盘的容量,CPU,内存,无上限的增加数据盘 E 滞宽,
